iter	MAE
0	73.65808752
1	72.08118836
2	70.44593974
3	68.95931206
4	67.53415246
5	66.39060492
6	65.2429029
7	63.75240316
8	62.35588723
9	61.2933123
10	60.04752995
11	58.78380641
12	57.71570447
13	56.71324634
14	55.75601129
15	54.80107814
16	53.68307462
17	52.58009781
18	51.47368027
19	50.73096092
20	49.8108075
21	48.93187552
22	48.18289771
23	47.33164303
24	46.40504327
25	45.59107452
26	44.82737107
27	44.00520938
28	43.20762822
29	42.542731
30	41.86783202
31	41.23581702
32	40.55919323
33	39.95880741
34	39.26577533
35	38.73798717
36	38.1377005
37	37.56958458
38	36.99245022
39	36.40312639
40	35.85545578
41	35.42713342
42	34.96277703
43	34.50476828
44	34.05786515
45	33.62554106
46	33.31819083
47	32.91719359
48	32.4621658
49	32.08284691
50	31.72724577
51	31.35789808
52	31.04671366
53	30.71312965
54	30.44823991
55	30.11750833
56	29.78898184
57	29.47184327
58	29.18546982
59	28.91115962
60	28.63784787
61	28.35938364
62	28.12259025
63	27.86591894
64	27.66336202
65	27.42689016
66	27.20248248
67	27.00251425
68	26.82126629
69	26.62007558
70	26.43582368
71	26.24960828
72	26.07595156
73	25.91933199
74	25.76687795
75	25.60042372
76	25.45340943
77	25.32009849
78	25.18979431
79	25.05142397
80	24.9026547
81	24.78325107
82	24.659715
83	24.53214992
84	24.42528607
85	24.34388244
86	24.23607303
87	24.13401044
88	24.03371386
89	23.94584995
90	23.84258124
91	23.73796572
92	23.66024753
93	23.56741189
94	23.4819038
95	23.40378135
96	23.32163001
97	23.23366741
98	23.15444099
99	23.09161208
100	23.0102524
101	22.94526285
102	22.88756363
103	22.8185454
104	22.75494071
105	22.67990441
106	22.60557082
107	22.54043981
108	22.4796986
109	22.41930827
110	22.35956206
111	22.31015325
112	22.25867254
113	22.2250494
114	22.17827324
115	22.13529576
116	22.08307097
117	22.04185484
118	22.00518455
119	21.97031389
120	21.93024364
121	21.8988036
122	21.86741453
123	21.82925734
124	21.79987829
125	21.7569491
126	21.709304
127	21.67011326
128	21.64303579
