id,prediction
0,-1.9866563362298022
1,-8.849813038507117
2,27.62226583816243
3,30.800594942949576
4,290.71680539293567
5,796.8047324840825
6,1783.6958452416454
7,2428.38392389623
8,2858.4019077871953
9,2685.630310887028
10,2816.1725944900318
11,2628.644108078184
12,2225.1725062940736
13,2077.712503480957
14,2003.0043395475261
15,1785.1373909953297
16,1194.046511821616
17,489.8776380565867
18,187.74248502875005
19,28.425472445627065
20,3.240274788258987
21,-2.252313974801006
22,-0.3581695773190898
23,8.853464659205255
24,2.5822638641778433
25,-0.5970437507231345
26,8.605440798830108
27,164.75895562617924
28,756.1026755117457
29,1851.1686704896965
30,2107.704846284036
31,3123.952547724537
32,3912.8584045063426
33,4465.791998309613
34,4690.881034173292
35,4542.48807596243
36,3824.521570309074
37,3029.0741677796877
38,3097.157232851811
39,2696.130871683277
40,1620.954738392679
41,738.873336624824
42,394.0928275596653
43,122.01659367753271
44,6.09105376729691
45,2.866888012764429
46,6.099131191813311
47,-0.8019056830369453
48,-4.499409860995338
49,2.2370701749998334
50,7.288916557438948
51,259.02096350431003
52,760.7024991823874
53,1489.9149642541772
54,2529.20631001289
55,3892.01809265513
56,4569.730218656446
57,4687.631973407798
58,4632.038326571025
59,4731.147632965166
60,4026.2180508571687
61,3553.4651054347896
62,3018.6073589238595
63,2245.42145185995
64,1156.0924981832143
65,715.4887556325907
66,447.7109218471354
67,84.90767768444778
68,-1.2387072245379571
69,-14.292900739231413
70,-31.3649939964453
71,-9.083449938025366
72,-1.352766647315588
73,2.5665102325340756
74,6.11441788622574
75,173.09443902067397
76,540.5816867802899
77,1436.0661052380528
78,2476.304623086122
79,3715.642619657309
80,4023.9112277798604
81,3350.020176512421
82,3439.5880303483304
83,3625.609279703338
84,3499.731166212851
85,3105.781691206635
86,2766.7696822297535
87,2807.454030670488
88,2175.8425127325872
89,786.3555303413215
90,234.8612158242659
91,103.90767437341424
92,26.064404040615905
93,-16.553810215858014
94,-13.558347319316137
95,-18.009485749173802
96,-0.3827159980043884
97,-21.518335190774664
98,18.83146511829558
99,345.72094655320325
100,623.637031374412
101,1144.2891891063614
