,date_forecast,predicted
0,2023-05-01 00:00:00,0.014791016
1,2023-05-01 01:00:00,0.014790919
2,2023-05-01 02:00:00,0.014788201
3,2023-05-01 03:00:00,1.5148269
4,2023-05-01 04:00:00,30.453533
5,2023-05-01 05:00:00,73.39447
6,2023-05-01 06:00:00,181.7042
7,2023-05-01 07:00:00,307.29102
8,2023-05-01 08:00:00,369.56213
9,2023-05-01 09:00:00,392.0678
10,2023-05-01 10:00:00,433.49832
11,2023-05-01 11:00:00,398.32916
12,2023-05-01 12:00:00,208.1401
13,2023-05-01 13:00:00,214.86073
14,2023-05-01 14:00:00,283.03326
15,2023-05-01 15:00:00,216.46432
16,2023-05-01 16:00:00,158.4098
17,2023-05-01 17:00:00,103.83966
18,2023-05-01 18:00:00,27.928995
19,2023-05-01 19:00:00,1.0032778
20,2023-05-01 20:00:00,0.018841999
21,2023-05-01 21:00:00,0.018688234
22,2023-05-01 22:00:00,0.018715033
23,2023-05-01 23:00:00,0.01876772
24,2023-05-02 00:00:00,0.48152995
25,2023-05-02 01:00:00,0.48152995
26,2023-05-02 02:00:00,0.48152995
27,2023-05-02 03:00:00,0.4432861
28,2023-05-02 04:00:00,0.5580178
29,2023-05-02 05:00:00,0.5102129
30,2023-05-02 06:00:00,0.5229609
31,2023-05-02 07:00:00,0.49109092
32,2023-05-02 08:00:00,0.5548308
33,2023-05-02 09:00:00,0.5848145
34,2023-05-02 10:00:00,0.55286515
35,2023-05-02 11:00:00,0.5038389
36,2023-05-02 12:00:00,0.48790392
37,2023-05-02 13:00:00,0.5229609
38,2023-05-02 14:00:00,0.49427792
39,2023-05-02 15:00:00,0.5225625
40,2023-05-02 16:00:00,0.5532373
41,2023-05-02 17:00:00,0.53252184
42,2023-05-02 18:00:00,0.54208285
43,2023-05-02 19:00:00,0.5560259
44,2023-05-02 20:00:00,0.48790392
45,2023-05-02 21:00:00,0.48152995
46,2023-05-02 22:00:00,0.48152995
47,2023-05-02 23:00:00,0.48152995
48,2023-05-03 00:00:00,0.48300874
49,2023-05-03 01:00:00,0.48300874
50,2023-05-03 02:00:00,0.48300874
51,2023-05-03 03:00:00,0.45113885
52,2023-05-03 04:00:00,0.5594966
53,2023-05-03 05:00:00,0.5116917
54,2023-05-03 06:00:00,0.52443963
55,2023-05-03 07:00:00,0.4925697
56,2023-05-03 08:00:00,0.5563096
57,2023-05-03 09:00:00,0.5352037
58,2023-05-03 10:00:00,0.5085047
59,2023-05-03 11:00:00,0.5053177
60,2023-05-03 12:00:00,0.4925697
61,2023-05-03 13:00:00,0.52443963
62,2023-05-03 14:00:00,0.49575672
63,2023-05-03 15:00:00,0.5240413
64,2023-05-03 16:00:00,0.5547161
65,2023-05-03 17:00:00,0.53400064
66,2023-05-03 18:00:00,0.54356164
67,2023-05-03 19:00:00,0.5543177
68,2023-05-03 20:00:00,0.4893827
69,2023-05-03 21:00:00,0.48300874
70,2023-05-03 22:00:00,0.48300874
71,2023-05-03 23:00:00,0.48300874
72,2023-05-04 00:00:00,0.4734478
73,2023-05-04 01:00:00,0.4734478
74,2023-05-04 02:00:00,0.4766348
75,2023-05-04 03:00:00,0.44157788
76,2023-05-04 04:00:00,0.54993564
77,2023-05-04 05:00:00,0.5053177
78,2023-05-04 06:00:00,0.5148787
79,2023-05-04 07:00:00,0.48300874
80,2023-05-04 08:00:00,0.54674864
