,date_forecast,predicted
0,2023-05-01 00:00:00,3.4603726e-08
1,2023-05-01 01:00:00,2.7146874e-09
2,2023-05-01 02:00:00,0.09053848
3,2023-05-01 03:00:00,57.12576
4,2023-05-01 04:00:00,397.99713
5,2023-05-01 05:00:00,904.3144
6,2023-05-01 06:00:00,1847.8894
7,2023-05-01 07:00:00,2927.6396
8,2023-05-01 08:00:00,2425.5613
9,2023-05-01 09:00:00,2215.8965
10,2023-05-01 10:00:00,2574.0625
11,2023-05-01 11:00:00,2566.4727
12,2023-05-01 12:00:00,2043.4106
13,2023-05-01 13:00:00,2695.395
14,2023-05-01 14:00:00,2472.5046
15,2023-05-01 15:00:00,1680.7156
16,2023-05-01 16:00:00,1228.3265
17,2023-05-01 17:00:00,700.7185
18,2023-05-01 18:00:00,307.3255
19,2023-05-01 19:00:00,20.497051
20,2023-05-01 20:00:00,3.388364e-05
21,2023-05-01 21:00:00,1.0046033e-09
22,2023-05-01 22:00:00,2.3321098e-09
23,2023-05-01 23:00:00,8.068289e-09
24,2023-05-02 00:00:00,4.6916814
25,2023-05-02 01:00:00,4.7885056
26,2023-05-02 02:00:00,4.844714
27,2023-05-02 03:00:00,5.188132
28,2023-05-02 04:00:00,5.0816374
29,2023-05-02 05:00:00,5.8192415
30,2023-05-02 06:00:00,6.67567
31,2023-05-02 07:00:00,5.635989
32,2023-05-02 08:00:00,6.958286
33,2023-05-02 09:00:00,6.7501326
34,2023-05-02 10:00:00,6.620912
35,2023-05-02 11:00:00,4.885088
36,2023-05-02 12:00:00,5.0804286
37,2023-05-02 13:00:00,4.9525385
38,2023-05-02 14:00:00,4.8011374
39,2023-05-02 15:00:00,4.8577695
40,2023-05-02 16:00:00,4.714286
41,2023-05-02 17:00:00,4.7225056
42,2023-05-02 18:00:00,4.7943077
43,2023-05-02 19:00:00,4.810022
44,2023-05-02 20:00:00,4.726495
45,2023-05-02 21:00:00,4.71622
46,2023-05-02 22:00:00,4.7228684
47,2023-05-02 23:00:00,4.719
48,2023-05-03 00:00:00,4.6916814
49,2023-05-03 01:00:00,4.7885056
50,2023-05-03 02:00:00,4.844714
51,2023-05-03 03:00:00,5.188132
52,2023-05-03 04:00:00,5.0816374
53,2023-05-03 05:00:00,5.8192415
